2022-07-14 23:58:46+00:00,1547732368705744897,"London, England, UK.",Who Cares Wins!,"b'RT @BBCRosAtkins: In the middle of everything else going on last week, Boris Johnson told MPs he met Russian oligarch and ex-KGB officer Al\xe2\x80\xa6'"
2022-07-14 23:58:44+00:00,1547732359176286208,"Watford, Hertfordshire, ",Alex,b'RT @UKRegulator: Don\xe2\x80\x99t let Boris Johnson have another chance to abuse the honours system.  Please sign and circulate as widely as you can t\xe2\x80\xa6'
2022-07-14 23:58:43+00:00,1547732353681727488,"Frodsham, England",Jo Kavanagh 🌹,"b'RT @SimonUbsdell: A Penny Mordaunt government will have you begging pitifully for the return of reliable, honest, dependable \xe2\x80\x98Boris\xe2\x80\x99 Johnso\xe2\x80\xa6'"
2022-07-14 23:58:42+00:00,1547732348950654977,"Kano, Nigeria",Fatima Gambo Raka,b'RT @Ya_Abdool: This is labanoris\n\nDaga gani na ka san bani da wani\nworries\n\nIn kak-katse kuma inci boris\n\n@Dj_Abba ne dont act like you dun\xe2\x80\xa6'
2022-07-14 23:58:41+00:00,1547732346840920066,,NewFoolFromTheHill,"b'RT @samjharland: Rushi replacing Boris. It\xe2\x80\x99s like being in a care home in the 70\xe2\x80\x99s, laying on your bed after hearing Saville won\xe2\x80\x99t be visit\xe2\x80\xa6'"
2022-07-14 23:58:40+00:00,1547732344085196801,,We must turn Boris Johnson Left,b'@yet_so_far I am kicking myself for not keeping a copy of that anecdote where people explained microchips to Boris\xe2\x80\xa6 https://t.co/H4yIUUHH1b'
2022-07-14 23:58:40+00:00,1547732343464505345,,greengrowersr.,b'RT @kylenabecker: Breaking News.\xf0\x9f\x9a\xa8\n\nEstonian prime minister Kaja Kallas has just resigned.\n\nThis follows upon the resignation announcements\xe2\x80\xa6'
2022-07-14 23:58:39+00:00,1547732338531975168,"Wrexham, North Wales (UK)",Cal,"b""RT @JeremyCordite: The lefties have got rid of Boris and they're still angry and depressed. \xf0\x9f\x98\x82"""
2022-07-14 23:58:37+00:00,1547732331397451778,beautiful perfect Canada,The Pleb (he/him) 🇺🇦❤️🌈3x💉😷,b'RT @kylenabecker: Breaking News.\xf0\x9f\x9a\xa8\n\nEstonian prime minister Kaja Kallas has just resigned.\n\nThis follows upon the resignation announcements\xe2\x80\xa6'
2022-07-14 23:58:36+00:00,1547732323759636481,NI UK,Jane #SupportRefugees,b'RT @Kevin_Maguire: We need a new economic plan to overcome sluggish economic growth - Liz Truss.\n\nMemo to Liz Truss: The Tories have been i\xe2\x80\xa6'
2022-07-14 23:58:34+00:00,1547732318810296326,,elizabeth payton,b'RT @geoffreyMyers1: Allegations now that #MichaelGove is secretly on #TeamRishi and has been for some time \xf0\x9f\x98\xaeBut is publicly backing #Kemi t\xe2\x80\xa6'
2022-07-14 23:58:34+00:00,1547732315358392320,Nigeria,DJ AB,b'RT @Ya_Abdool: This is labanoris\n\nDaga gani na ka san bani da wani\nworries\n\nIn kak-katse kuma inci boris\n\n@Dj_Abba ne dont act like you dun\xe2\x80\xa6'
2022-07-14 23:58:32+00:00,1547732309385682946,,Judes,b'RT @JamesMelville: \xf0\x9f\x87\xac\xf0\x9f\x87\xa7 UK: Boris Johnson resigns\n\xf0\x9f\x87\xae\xf0\x9f\x87\xb9 Italy: Mario Draghi\xc2\xa0offers resignation\n\xf0\x9f\x87\xb1\xf0\x9f\x87\xb0 Sri Lanka: President Gotabaya Rajapaksa agrees\xe2\x80\xa6'
2022-07-14 23:58:26+00:00,1547732284479922176,"British Columbia, Canada",Ez in the mountains,b'RT @kylenabecker: Breaking News.\xf0\x9f\x9a\xa8\n\nEstonian prime minister Kaja Kallas has just resigned.\n\nThis follows upon the resignation announcements\xe2\x80\xa6'
2022-07-14 23:58:23+00:00,1547732271628619777,,Martie Tolman,b'RT @peterjukes: How did Foreign Secretary Boris Johnson react to early revelations of Putin\xe2\x80\x99s great information war? All the evidence sugge\xe2\x80\xa6'
2022-07-14 23:58:21+00:00,1547732261851648000,,Maureen Ferguson,b'RT @80_mcswan: Has a combination of Brexit and Boris Johnson made the U.K. a laughing stock?\n\nJust type Yes or No'
2022-07-14 23:58:21+00:00,1547732260366925831,,Jim Brown,b'Take note Tory backstabbers who betrayed our PM Boris Johnson. \xf0\x9f\x87\xac\xf0\x9f\x87\xa7 https://t.co/prhmtt6xvF'
2022-07-14 23:58:18+00:00,1547732248085925891,,Holly,b'RT @kylenabecker: Breaking News.\xf0\x9f\x9a\xa8\n\nEstonian prime minister Kaja Kallas has just resigned.\n\nThis follows upon the resignation announcements\xe2\x80\xa6'
2022-07-14 23:58:15+00:00,1547732237365350402,England UK,Keith Marshall,"b""RT @make_mine_a_tea: BREAKING: Boris Johnson's press officer has threatened legal action if you suggest he travelled with a Russian violini\xe2\x80\xa6"""
2022-07-14 23:58:12+00:00,1547732224128061443,Scotland,Jacx #ToriesUnfitToGovern #ScottishIndependence,b'RT @localnotail: @StephenOld @RhonddaBryant @francjonsn Here is the section from the 06.07.22 Liaison Committee questioning about Boris Joh\xe2\x80\xa6'
2022-07-14 23:58:11+00:00,1547732219841564672,Liverpool,Jacko The Red,b'Prevent Boris Johnson from having a Resignation Honours List - Sign the Petition! https://t.co/mQDzUXVYxK via @UKChange'
2022-07-14 23:58:11+00:00,1547732218499330049,"Cape Town, South Africa",Amir of the Cape,"b'RT @GazWeetman: ""I will be leaving with my head held high"", says Boris Johnson with his hand down the back of his trousers.\n#PMQs https://t\xe2\x80\xa6'"
2022-07-14 23:58:08+00:00,1547732206361067521,"West Coast, U.S. ",shawny reed,b'RT @kylenabecker: Breaking News.\xf0\x9f\x9a\xa8\n\nEstonian prime minister Kaja Kallas has just resigned.\n\nThis follows upon the resignation announcements\xe2\x80\xa6'
2022-07-14 23:58:04+00:00,1547732191257366529,,Joe Clark☭,"b'RT @ChallengeYCL: Three years after his fairly historic victory, we bid an ignoble bon voyage to Boris Johnson, the Thatcher wannabe, witho\xe2\x80\xa6'"
2022-07-14 23:57:55+00:00,1547732153831608320,"Nottingham, England",Raman,"b'RT @peterjukes: Thread: \n\nGiven [Putin\xe2\x80\x99s campaign of espionage and infiltration, designed to cause destruction to Britain\xe2\x80\x99s prestige and in\xe2\x80\xa6'"
2022-07-14 23:57:54+00:00,1547732150845222920,,Tony McAfee 🇨🇦🇮🇪🇱🇺,b'@BrynnWalker5309 @DeplorableNorth .... For replace Boris Johnson https://t.co/Zq5pixjxpR'
2022-07-14 23:57:52+00:00,1547732139172450306,United Kingdom,Jan B,b'RT @tmt1958: @JuneMccarthy10 @jane798m @TomTugendhat @RishiSunak @KemiBadenoch @trussliz @PennyMordaunt He can mass debate as much as he li\xe2\x80\xa6'
2022-07-14 23:57:51+00:00,1547732136471343105,R’yleh,Chrissy Overkill,b'RT @MattHighton: Boris Johnson giving off real Isildur energy. If Isildur instead of fighting Sauron contracted a friend to make their own\xe2\x80\xa6'
2022-07-14 23:57:48+00:00,1547732122836037632,,Thedhu Habaru,"b'RT @FiorellaIsabelM: PM Boris Johnson resigns, Italy\xe2\x80\x99s Mario Draghi\xc2\xa0quits, Sri Lanka\xe2\x80\x99s leader forced to resign, Chile has a new non-Pinoche\xe2\x80\xa6'"
2022-07-14 23:57:43+00:00,1547732101193027587,United Kingdom,myChronomy 🇺🇦 🇬🇧 🇺🇸,b'@ThanksBoJo @KevrotKev @tomhfh @TrussTories David Frost is totally bloody useless - he is hardly an authority on an\xe2\x80\xa6 https://t.co/eZ0MPUEH3c'
2022-07-14 23:57:42+00:00,1547732097812443137,"Yorkshire, European Union",Peter Howells #JohnsonOut #FBPE #NotMovingOn 🇪🇺,b'RT @peterjukes: We effectively abandoned [the Ukrainian people] during their eight-year-long struggle to hold back the dark Putinist tide o\xe2\x80\xa6'
2022-07-14 23:57:41+00:00,1547732094150852615,,StreamJHope’sArson,b'RT @kylenabecker: Breaking News.\xf0\x9f\x9a\xa8\n\nEstonian prime minister Kaja Kallas has just resigned.\n\nThis follows upon the resignation announcements\xe2\x80\xa6'
2022-07-14 23:57:35+00:00,1547732067441487874,"Manchester, England",peter j,b'RT @Geoff24920157: @Nigel_Farage How about you and Boris head up a new party. LibLabCon would be apoplectic.\nNigel YOUR COUNTRY NEEDS YOU \xf0\x9f\xab\xb5'
2022-07-14 23:57:30+00:00,1547732048709709826,,Chris12C,b'RT @BBCRosAtkins: Last week Boris Johnson told MPs he met Russian oligarch and ex-KGB officer Alexander Lebedev without officials present.\xe2\x80\xa6'
2022-07-14 23:57:29+00:00,1547732043638775810,"London, England",mistygo,"b""RT @pcaruanagalizia: NEW: A national security risk unseen since the Profumo Affair.\n\nWho accompanied Boris Johnson to a former KGB agent's\xe2\x80\xa6"""
